protein_id,parsi6,full
Q27971,0,1
O46415,0,1
G3X745,0,1
Q3ZBG0,0,1
Q3B7N2,0,1
P33672,0,1
P21793,0,1
P80109,0,1
Q2TA40,0,1
P13213,0,1
Q3T004,0,1
P81282,0,1
Q95M17,0,1
Q28008,0,1
Q3MHN5,0,1
O46414,0,1
O46470,0,1
Q3MHN0,0,1
Q2KJ39,0,1
Q6ZXC9,0,1
P52193,0,1
P68250,0,1
Q3T108,0,1
P80227,0,1
A6QNT4,0,1
P08037,0,1
O77742,0,1
Q9MYY0,0,1
P55252,0,1
P80012,0,1
Q17QH6,0,1
Q0VCG9,0,1
Q9BGI3,0,1
Q9N179,0,1
Q0P569,0,1
Q3Y5Z3,0,1
P52556,0,1
Q5E9K0,0,1
Q29423,0,1
P31098,0,1
Q2KJC6,0,1
P31836,0,1
P05307,0,1
P79124,0,1
Q08E11,0,1
Q58DU5,0,1
P63103,0,1
P19427,0,1
Q3T0X5,0,1
P55918,0,1
P62261,0,1
P19879,0,1
P22457,0,1
Q28146,0,1
P38657,0,1
Q3ZCK9,0,1
Q5E987,0,1
P00432,0,1
A7E3W2,0,1
Q5KR48,0,1
A6QR46,0,2
Q2YDE4,0,2
Q2KJH6,1,0
P33072,1,0
Q6R8F2,1,2
Q3SYV4,1,2
Q9XSJ4,1,2
Q5NTB3,1,2
P82943,1,2
P13384,1,2
Q9GLX9,1,2
Q05717,1,2
P24591,1,2
Q29RQ1,1,2
P13135,1,2
Q05716,1,2
Q3MHL4,1,2
P01035,1,2
Q5E9H0,1,2
Q5E9R3,1,2
Q3ZBD9,1,2
P13605,2,1
P01044,2,1
P28800,2,1
P21809,2,1
A6H767,2,1
O18979,2,1
Q2KJD0,2,1
P81947,2,1
