target,k,ari_mean,ari_sd,ari_min
detection,2,0.9800913655622773,0.033602864080586624,0.8824573311560738
detection,3,0.9711518375679394,0.03788951463970064,0.8163491105700367
detection,4,0.9604982996535001,0.02377821374239618,0.8710643706422276
detection,5,0.8098211353466227,0.13245708688630764,0.6144947547586069
detection,6,0.887517679325673,0.06802896693390356,0.7202735123353295
detection,7,0.9354523391492379,0.06755220173060057,0.6075855925023755
detection,8,0.8709939789887671,0.09447445148129859,0.5180737246408393
detection,9,0.8707689508799927,0.07515741614066171,0.6545406841819552
detection,10,0.8435166010122941,0.05601789113991541,0.6608199303214425
enrichment,2,0.9973332430188734,0.011318906397309692,0.9206254739221663
enrichment,3,0.732930236548439,0.27517157340082377,0.38671226629670497
enrichment,4,0.9593048522005023,0.03320006446862024,0.8836768217880003
enrichment,5,0.9624908931520499,0.041603197839954524,0.6967659921547212
enrichment,6,0.9525530571500164,0.03762913935854784,0.7765616540406716
enrichment,7,0.8685830319894877,0.10137224909824379,0.49848819773202496
enrichment,8,0.8028690650658012,0.09865595114763247,0.5245151095942786
enrichment,9,0.7775051661306779,0.0903616909913191,0.5120271024709327
enrichment,10,0.756573449932667,0.1029845621081878,0.5430040140560541
