model,feature_higher,feature_lower,observed_diff,p_two_sided,p_bh,ordering_resolved
RFC,zeta_potential,abundance_controls,0.017871662274341362,0.0,0.0,True
RFC,zeta_potential,dh_functionalized,0.021814807863348922,0.0,0.0,True
RFC,zeta_potential,secondary_structure_fraction_sheet,0.023116649688687853,0.0,0.0,True
RFC,zeta_potential,ligand_pei,0.023498127858971745,0.0,0.0,True
RFC,zeta_potential,dtem,0.029649161084257483,0.0,0.0,True
RFC,zeta_potential,frac_aa_a,0.03171694259207462,0.0,0.0,True
RFC,zeta_potential,fraction_exposed,0.03185911197712016,0.0,0.0,True
RFC,zeta_potential,nsp_secondary_structure_helix,0.031926619756169214,0.0,0.0,True
RFC,zeta_potential,frac_aa_c,0.032237177483497144,0.0,0.0,True
RFC,zeta_potential,frac_aa_r,0.03281906112559428,0.0,0.0,True
RFC,zeta_potential,fraction_exposed_exposed_k,0.03291167855109897,0.0,0.0,True
RFC,zeta_potential,fraction_exposed_exposed_v,0.033188729902402354,0.0,0.0,True
RFC,zeta_potential,fraction_exposed_nonpolar_total,0.033445027191403215,0.0,0.0,True
RFC,zeta_potential,asa_sum,0.03371156448529812,0.0,0.0,True
RFC,zeta_potential,fraction_exposed_exposed_l,0.033732815343541465,0.0,0.0,True
RFC,zeta_potential,fraction_exposed_exposed_r,0.03410227993978215,0.0,0.0,True
RFC,zeta_potential,frac_aa_i,0.03414319967623589,0.0,0.0,True
RFC,zeta_potential,frac_aa_p,0.03414874421216164,0.0,0.0,True
RFC,zeta_potential,frac_aa_s,0.03455680862000106,0.0,0.0,True
RFC,abundance_controls,dh_functionalized,0.00394314558900756,1.0,1.0,False
RFC,abundance_controls,secondary_structure_fraction_sheet,0.005244987414346491,0.96,1.0,False
RFC,abundance_controls,ligand_pei,0.005626465584630383,1.0,1.0,False
RFC,abundance_controls,dtem,0.011777498809916121,1.0,1.0,False
RFC,abundance_controls,frac_aa_a,0.01384528031773326,0.608,0.9958620689655172,False
RFC,abundance_controls,fraction_exposed,0.0139874497027788,0.292,0.6527058823529411,False
RFC,abundance_controls,nsp_secondary_structure_helix,0.014054957481827852,0.376,0.76,False
RFC,abundance_controls,frac_aa_c,0.014365515209155782,0.32,0.6831460674157304,False
RFC,abundance_controls,frac_aa_r,0.014947398851252921,0.388,0.776,False
RFC,abundance_controls,fraction_exposed_exposed_k,0.015040016276757608,0.272,0.6380246913580248,False
RFC,abundance_controls,fraction_exposed_exposed_v,0.015317067628060994,0.316,0.6822727272727273,False
RFC,abundance_controls,fraction_exposed_nonpolar_total,0.01557336491706185,0.096,0.27636363636363637,False
RFC,abundance_controls,asa_sum,0.015839902210956762,0.352,0.7191397849462365,False
RFC,abundance_controls,fraction_exposed_exposed_l,0.0158611530692001,0.264,0.6270000000000001,False
RFC,abundance_controls,fraction_exposed_exposed_r,0.01623061766544079,0.248,0.5964556962025316,False
RFC,abundance_controls,frac_aa_i,0.016271537401894534,0.236,0.5823376623376624,False
RFC,abundance_controls,frac_aa_p,0.016277081937820275,0.116,0.32895522388059706,False
RFC,abundance_controls,frac_aa_s,0.016685146345659693,0.232,0.5823376623376624,False
RFC,dh_functionalized,secondary_structure_fraction_sheet,0.0013018418253389306,0.044,0.13483870967741934,False
RFC,dh_functionalized,ligand_pei,0.0016833199956228229,0.684,1.0,False
RFC,dh_functionalized,dtem,0.007834353220908561,0.0,0.0,True
RFC,dh_functionalized,frac_aa_a,0.0099021347287257,0.008,0.02867924528301887,True
RFC,dh_functionalized,fraction_exposed,0.01004430411377124,0.0,0.0,True
RFC,dh_functionalized,nsp_secondary_structure_helix,0.010111811892820292,0.0,0.0,True
RFC,dh_functionalized,frac_aa_c,0.010422369620148222,0.0,0.0,True
RFC,dh_functionalized,frac_aa_r,0.011004253262245361,0.0,0.0,True
RFC,dh_functionalized,fraction_exposed_exposed_k,0.011096870687750048,0.0,0.0,True
RFC,dh_functionalized,fraction_exposed_exposed_v,0.011373922039053434,0.0,0.0,True
