scheme,fold,k_selected,roc_auc,bal_acc
by protein,1,80,0.7241255144032921,0.5933641975308642
by protein,2,40,0.6666139068774647,0.6130386020766253
by protein,3,40,0.735505656643868,0.605303910181959
by protein,4,80,0.6329398589272328,0.5528029406717665
by protein,5,72,0.6000151030309896,0.6003171636507802
by protein,6,72,0.7733467640392848,0.7260287081339712
by protein,7,28,0.6689663023679416,0.6092896174863388
by protein,8,36,0.699864205021525,0.6162491693392275
by protein,9,72,0.5998314271082281,0.5427086889723456
by protein,10,28,0.690744577980384,0.6097803564028181
