,selection_freq,in_parsi_7
abundance_controls,1.0,True
zeta_potential,1.0,True
fraction_exposed_exposed_f,1.0,False
asa_sum,1.0,False
fraction_exposed_exposed_r,1.0,False
secondary_structure_fraction_sheet,1.0,True
isoelectric_point,1.0,False
flexibility_min,1.0,False
nsp_secondary_structure_coil,1.0,True
nsp_secondary_structure_helix,1.0,False
frac_aa_r,1.0,False
fraction_exposed_exposed_l,1.0,False
ligand_pei,1.0,True
frac_aa_c,1.0,False
dh_functionalized,1.0,False
frac_aa_a,1.0,True
dtem,1.0,False
fraction_exposed_exposed_v,0.9,False
fraction_exposed_exposed_k,0.9,True
fraction_exposed_exposed_s,0.9,False
fraction_exposed,0.9,False
fraction_buried,0.9,False
fraction_exposed_nonpolar_exposed,0.9,False
fraction_exposed_polar_exposed,0.9,False
length,0.9,False
fraction_exposed_exposed_p,0.9,False
frac_aa_n,0.9,False
fraction_exposed_exposed_e,0.8,False
mass,0.8,False
frac_aa_l,0.8,False
fraction_exposed_exposed_y,0.8,False
frac_aa_v,0.8,False
frac_aa_s,0.8,False
frac_aa_q,0.8,False
frac_aa_i,0.8,False
flexibility_max,0.7,False
molecular_weight,0.7,False
frac_aa_w,0.7,False
nsp_disordered,0.7,False
fraction_exposed_exposed_m,0.6,False
frac_aa_p,0.6,False
fraction_exposed_exposed_n,0.6,False
fraction_exposed_exposed_a,0.6,False
secondary_structure_fraction_turn,0.6,False
fraction_exposed_exposed_q,0.6,False
frac_aa_h,0.6,False
fraction_exposed_polar_total,0.6,False
frac_aa_y,0.6,False
nsp_secondary_structure_sheet,0.6,False
gravy,0.6,False
core_iron_oxide,0.5,False
fraction_exposed_exposed_t,0.5,False
incubation_concentration_mg_per_ml,0.5,False
fraction_exposed_exposed_i,0.5,False
flexibility_std,0.5,False
frac_aa_e,0.5,False
frac_aa_g,0.5,False
frac_aa_k,0.5,False
fraction_exposed_exposed_h,0.5,False
aromaticity,0.5,False
instability_index,0.5,False
frac_aa_m,0.5,False
secondary_structure_fraction_helix,0.5,False
fraction_exposed_exposed_d,0.5,False
secondary_structure_fraction_disordered,0.5,False
fraction_exposed_nonpolar_total,0.5,False
fraction_exposed_exposed_g,0.5,False
frac_aa_d,0.4,False
frac_aa_f,0.4,False
fraction_exposed_exposed_w,0.4,False
core_iron_oxide_au,0.4,False
rsa_mean,0.4,False
fraction_exposed_exposed_c,0.4,False
rsa_std,0.4,False
frac_aa_t,0.4,False
flexibility_mean,0.4,False
ligand_citrate,0.3,False
ligand_pvp,0.2,False
np_incubation_concentration_mg_per_ml,0.2,False
core_ps,0.1,False
centrifuged,0.1,False
ligand_peg_two_k,0.0,False
ligand_peg_five_k,0.0,False
ligand_carboxylate,0.0,False
