scheme,model,k,roc_auc,roc_auc_lo,roc_auc_hi,avg_precision,avg_precision_lo,avg_precision_hi,balanced_accuracy,balanced_accuracy_lo,balanced_accuracy_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,brier,brier_lo,brier_hi
by protein,"RF, full 84",84,0.6768904607505841,0.6427621425523486,0.7089819808846562,0.5774659614440227,0.5209806331962729,0.636799907101916,0.5883487310499164,0.5639574994966883,0.6139688480433422,0.6349614395886889,0.5612039797770288,0.7048221729657569,0.2800453514739229,0.22707312360117127,0.3356783724560805,0.3886703383162864,0.3309858289456003,0.4472119788562286,0.2159057109716372,0.20812879989014202,0.2241679074218576
by protein,"RF, parsimonious 6",6,0.668345434027835,0.633988197518195,0.6984326565433078,0.5884227368883922,0.5333477276091139,0.6434738591158493,0.6119090528011302,0.5832259771965193,0.6399690214765283,0.5988472622478386,0.540177893823859,0.6570817161916314,0.3926681783824641,0.33420655463271803,0.44858642997789927,0.4743209312942251,0.4185561290307889,0.5251163695934119,0.2170902007532223,0.2071298562534615,0.22777716715423005
by protein,"RF, serum only",1,0.45430030333336635,0.41575602701885134,0.49747768315989305,0.38156749545754887,0.3443495406407082,0.43564270282572154,0.5243013265471157,0.5012814182236416,0.5503811860188561,0.4876543209876543,0.3888888888888889,0.5957924249680715,0.14928193499622072,0.10576503546447077,0.20157103788403088,0.22858796296296297,0.16872280982616827,0.295309387538632,0.2720249117369876,0.2541893678950081,0.2910287370196912
by protein,"Logistic regression, full 84",84,0.5664918401454063,0.5335234349485538,0.5999506516334907,0.438130001933279,0.39416398524460194,0.4875863205595995,0.5421209240610364,0.5166208537953709,0.5672314418290407,0.4660033167495854,0.411480988957576,0.5246744748495097,0.31859410430839,0.26859708939530097,0.3719420700496571,0.3784511784511784,0.33247316668307847,0.42531606735307254,0.24905302622920866,0.23890783980810235,0.26093625608321475
by protein,"Logistic regression, parsimonious 6",6,0.5555745345202613,0.5183855759010068,0.5924727698619013,0.42336467087418406,0.38214662639999936,0.4769841521841298,0.4981400614588387,0.47869973529129073,0.5174231146178215,0.38161993769470404,0.2782582727407627,0.49103296980250194,0.09259259259259259,0.05990716243738242,0.12948011510361837,0.14902676399026765,0.09893526973879799,0.20281823222847148,0.2387870660914454,0.2316851308750649,0.24663919594971248
by protein,Baseline: majority class,6,0.5,0.5,0.5,0.39095744680851063,0.3631722813238771,0.4230237884160757,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39095744680851063,0.3631722813238771,0.4230237884160757
by protein,Baseline: stratified,6,0.4804260860093673,0.4688411531198437,0.49214247874588035,0.3821819510520353,0.3533521518101805,0.41455052352100463,0.48042608600936737,0.4688411531198437,0.49214247874588035,0.3680580762250454,0.3360984833086584,0.40313269294097076,0.3832199546485261,0.36502665693889774,0.40047272783694043,0.37548602110720236,0.35433789193759346,0.3968889390975168,0.4983747044917258,0.4852245862884161,0.5122635933806147
by nanoparticle,"RF, full 84",84,0.8615467104411444,0.82497242820649,0.8915617842659855,0.8090214558418548,0.7339301339482703,0.8619743075133096,0.7746751296345806,0.7450066692091902,0.7979442155024887,0.7893789378937894,0.7025227305269186,0.8496064183743472,0.6628873771730914,0.6271093750000001,0.6918984530710822,0.7206244864420707,0.6713680637785397,0.7551983922333975,0.14467021445389205,0.13175050015505585,0.16062643912939256
by nanoparticle,"RF, parsimonious 6",6,0.8742918645705087,0.8299170477362403,0.9113881316940436,0.8147002129516657,0.7224892494279619,0.883280944123554,0.7968937210983374,0.7629642795305773,0.8207740928753192,0.7971137521222411,0.7119811926112088,0.8605182920822705,0.7097505668934241,0.6555971093594248,0.7483929534244823,0.7508996401439424,0.6980109250948695,0.7843899246185847,0.1368261388025944,0.11987443894083745,0.15844341973618523
by nanoparticle,"RF, serum only",1,0.6241078969730111,0.5953176560556754,0.6518361484955765,0.5887653726455573,0.5242626508891285,0.6276323657908045,0.6217649116900521,0.605671347823507,0.6339908830881356,0.8106951871657754,0.7142857142857143,0.8770557648410937,0.28647014361300077,0.270348505030562,0.3000039745627981,0.4233454342362469,0.3957770387431592,0.4433135128877913,0.2021426021184228,0.19642980402948249,0.20759367729103595
by nanoparticle,"Logistic regression, full 84",84,0.6295497712805538,0.5862406938454662,0.6667171297415244,0.523262982521276,0.4508804721818878,0.5757400167003864,0.5955194790191671,0.5564587467763273,0.625336081395602,0.5560321715817694,0.4725640551111504,0.6219823386499808,0.3919123204837491,0.2481612257853529,0.5191192156644423,0.45976501884282867,0.34616261372361173,0.5358957590477066,0.22942573836928665,0.22012674879889382,0.23910543974494744
by nanoparticle,"Logistic regression, parsimonious 6",6,0.5720661546197001,0.5286652370362293,0.6138294240276756,0.44955349730027155,0.3915161017392539,0.4940875727211454,0.5115177560592408,0.5030779859066646,0.5195974412311596,0.4686192468619247,0.3874938725490196,0.5254859852206524,0.08465608465608465,0.061290445501368786,0.11775689270641262,0.14340588988476313,0.10747031316918827,0.18690751152256832,0.23552366759876556,0.22716443561679098,0.2422304385208657
by nanoparticle,Baseline: majority class,6,0.5,0.5,0.5,0.39095744680851063,0.35246897163120566,0.41797592385218363,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39095744680851063,0.35246897163120566,0.41797592385218363
by nanoparticle,Baseline: stratified,6,0.4972084418435011,0.48911603539148574,0.5058343731115114,0.38963911733153284,0.3511228317974271,0.4188480926321466,0.4972084418435011,0.48911603539148574,0.5058343731115114,0.3877034358047016,0.3461471683280413,0.4206587892897754,0.4051398337112623,0.395338649988455,0.417220140553761,0.3962299020513768,0.3733019643675381,0.4137400618808679,0.48271276595744683,0.47464345079787235,0.49020384238521836
