scheme,model,k,roc_auc,avg_precision,balanced_accuracy,f1,brier
by protein,"RF, full 84",84,"0.677 [0.643, 0.709]","0.577 [0.521, 0.637]","0.588 [0.564, 0.614]","0.389 [0.331, 0.447]","0.216 [0.208, 0.224]"
by protein,"RF, parsimonious 6",6,"0.668 [0.634, 0.698]","0.588 [0.533, 0.643]","0.612 [0.583, 0.640]","0.474 [0.419, 0.525]","0.217 [0.207, 0.228]"
by protein,"RF, serum only",1,"0.454 [0.416, 0.497]","0.382 [0.344, 0.436]","0.524 [0.501, 0.550]","0.229 [0.169, 0.295]","0.272 [0.254, 0.291]"
by protein,"Logistic regression, full 84",84,"0.566 [0.534, 0.600]","0.438 [0.394, 0.488]","0.542 [0.517, 0.567]","0.378 [0.332, 0.425]","0.249 [0.239, 0.261]"
by protein,"Logistic regression, parsimonious 6",6,"0.556 [0.518, 0.592]","0.423 [0.382, 0.477]","0.498 [0.479, 0.517]","0.149 [0.099, 0.203]","0.239 [0.232, 0.247]"
by protein,Baseline: majority class,6,"0.500 [0.500, 0.500]","0.391 [0.363, 0.423]","0.500 [0.500, 0.500]","0.000 [0.000, 0.000]","0.391 [0.363, 0.423]"
by protein,Baseline: stratified,6,"0.480 [0.469, 0.492]","0.382 [0.353, 0.415]","0.480 [0.469, 0.492]","0.375 [0.354, 0.397]","0.498 [0.485, 0.512]"
by nanoparticle,"RF, full 84",84,"0.862 [0.825, 0.892]","0.809 [0.734, 0.862]","0.775 [0.745, 0.798]","0.721 [0.671, 0.755]","0.145 [0.132, 0.161]"
by nanoparticle,"RF, parsimonious 6",6,"0.874 [0.830, 0.911]","0.815 [0.722, 0.883]","0.797 [0.763, 0.821]","0.751 [0.698, 0.784]","0.137 [0.120, 0.158]"
by nanoparticle,"RF, serum only",1,"0.624 [0.595, 0.652]","0.589 [0.524, 0.628]","0.622 [0.606, 0.634]","0.423 [0.396, 0.443]","0.202 [0.196, 0.208]"
by nanoparticle,"Logistic regression, full 84",84,"0.630 [0.586, 0.667]","0.523 [0.451, 0.576]","0.596 [0.556, 0.625]","0.460 [0.346, 0.536]","0.229 [0.220, 0.239]"
by nanoparticle,"Logistic regression, parsimonious 6",6,"0.572 [0.529, 0.614]","0.450 [0.392, 0.494]","0.512 [0.503, 0.520]","0.143 [0.107, 0.187]","0.236 [0.227, 0.242]"
by nanoparticle,Baseline: majority class,6,"0.500 [0.500, 0.500]","0.391 [0.352, 0.418]","0.500 [0.500, 0.500]","0.000 [0.000, 0.000]","0.391 [0.352, 0.418]"
by nanoparticle,Baseline: stratified,6,"0.497 [0.489, 0.506]","0.390 [0.351, 0.419]","0.497 [0.489, 0.506]","0.396 [0.373, 0.414]","0.483 [0.475, 0.490]"
