scheme,model,k,r2,mae,rmse,spearman_raw
by protein,"RF, full 84",84,"0.401 [0.196, 0.508]","0.093 [0.073, 0.114]","0.265 [0.206, 0.323]","0.502 [0.432, 0.568]"
by protein,"RF, parsimonious 6",6,"0.424 [0.209, 0.565]","0.092 [0.072, 0.113]","0.260 [0.209, 0.312]","0.485 [0.416, 0.548]"
by protein,"RF, serum only",1,"0.406 [0.066, 0.619]","0.094 [0.074, 0.116]","0.264 [0.219, 0.306]","0.212 [0.109, 0.306]"
by protein,"Linear regression, full 84",84,"0.405 [0.194, 0.499]","0.146 [0.128, 0.167]","0.264 [0.216, 0.320]","0.451 [0.375, 0.524]"
by protein,"Linear regression, parsimonious 6",6,"0.426 [0.267, 0.507]","0.111 [0.091, 0.134]","0.260 [0.202, 0.329]","0.389 [0.302, 0.471]"
by protein,"Ridge, full 84",84,"0.409 [0.198, 0.503]","0.145 [0.127, 0.166]","0.263 [0.216, 0.320]","0.454 [0.381, 0.527]"
by protein,Baseline: training mean,6,"-0.003 [-0.015, -0.002]","0.151 [0.127, 0.180]","0.343 [0.250, 0.446]","-0.045 [-0.129, 0.037]"
by nanoparticle,"RF, full 84",84,"0.813 [0.754, 0.867]","0.047 [0.040, 0.053]","0.148 [0.124, 0.171]","0.729 [0.686, 0.766]"
by nanoparticle,"RF, parsimonious 6",6,"0.819 [0.751, 0.876]","0.046 [0.040, 0.054]","0.146 [0.120, 0.172]","0.739 [0.683, 0.783]"
by nanoparticle,"RF, serum only",1,"0.747 [0.684, 0.802]","0.059 [0.053, 0.065]","0.172 [0.151, 0.193]","0.396 [0.358, 0.439]"
by nanoparticle,"Linear regression, full 84",84,"0.502 [0.453, 0.535]","0.129 [0.125, 0.134]","0.242 [0.232, 0.254]","0.456 [0.432, 0.471]"
by nanoparticle,"Linear regression, parsimonious 6",6,"0.447 [0.401, 0.477]","0.110 [0.106, 0.114]","0.255 [0.247, 0.265]","0.384 [0.358, 0.405]"
by nanoparticle,"Ridge, full 84",84,"0.502 [0.453, 0.534]","0.129 [0.125, 0.134]","0.242 [0.233, 0.254]","0.458 [0.435, 0.472]"
by nanoparticle,Baseline: training mean,6,"-0.000 [-0.001, -0.000]","0.151 [0.147, 0.154]","0.343 [0.338, 0.347]","-0.080 [-0.132, -0.030]"
