entry_id,cluster_detect,cluster_enrich,cluster_detect_full,cluster_enrich_full
Q3T149,2,2,1,2
Q3T0A3,1,1,1,1
Q2KJ33,1,1,1,1
P39873,1,1,1,1
Q27971,0,0,0,1
P01017,2,0,2,0
Q3SZJ0,0,0,0,0
P37141,2,2,1,2
Q58CS8,0,0,0,0
Q6R8F2,1,1,1,2
A6QPQ2,1,0,1,0
Q27972,1,1,1,1
P10103,0,0,0,0
Q3T0Y5,0,0,0,0
P81187,2,1,2,1
Q3SYU6,0,0,0,0
O46415,0,0,0,1
P00735,2,2,2,2
G3X745,0,0,0,1
Q2HJ49,1,1,0,1
P19034,0,0,0,0
Q32S24,0,0,0,0
Q3ZBG0,0,0,1,1
Q3B7N2,0,0,1,1
P40673,0,0,0,0
A5D7I4,0,0,0,0
Q76LV2,2,2,2,2
P33672,0,0,1,1
Q9TS87,0,0,0,0
P11116,0,0,0,0
O77834,0,0,0,0
Q56JV9,0,0,0,0
Q6Q137,1,1,0,1
P21793,0,0,1,1
P80109,0,0,0,1
Q5QQ49,0,0,0,0
P30932,0,0,0,0
Q8SPP7,1,1,1,1
Q29443,2,0,2,0
Q9N2I2,2,2,2,2
Q3SZD7,0,0,0,0
Q0VCX2,1,1,1,1
P17697,2,2,2,2
P68509,0,0,0,0
P00978,2,2,2,2
P02453,2,2,2,2
Q29465,0,0,0,0
P07455,1,1,1,1
Q2KIV9,2,2,2,2
O97680,0,0,0,0
P62935,1,1,1,1
P02584,0,0,0,0
Q5E9B7,1,2,2,2
P02070,1,1,1,1
Q2TA40,0,0,1,1
Q7SIH1,2,1,2,1
P81134,0,0,0,0
P62998,0,0,0,0
Q3SZR3,2,0,2,0
P81948,2,2,2,2
P56651,2,2,2,2
P13213,0,0,0,1
P02769,2,0,2,0
P19035,2,2,2,2
Q27970,1,1,0,1
Q9GLE5,0,0,0,0
Q6EWQ7,0,0,0,0
Q5EAD2,0,0,0,0
Q2TBX6,0,0,0,0
P10096,2,2,2,2
Q3ZCF0,0,0,0,0
P24627,1,1,1,1
O46375,2,0,2,0
Q3T004,0,0,0,1
Q5E9D5,1,1,0,1
Q5EA20,0,0,0,0
P79345,0,0,0,0
Q9BGI2,0,0,0,0
P01030,2,2,2,2
O62644,1,1,1,1
Q27991,2,2,2,2
Q3SYV4,1,1,1,2
Q95M18,1,1,1,1
Q28178,2,2,2,2
P81282,0,0,0,1
Q95M17,2,0,2,1
P00743,2,2,2,2
Q3ZBN5,2,2,2,2
Q28008,0,0,0,1
Q5E983,0,0,0,0
Q3SZV3,0,0,0,0
Q9XSJ4,1,1,1,2
Q3MHN2,2,2,2,2
Q2TBP0,0,0,0,0
Q3MHN5,2,0,2,1
Q3ZBF7,0,0,0,0
Q9TTJ5,0,0,0,0
P56701,0,0,0,0
P06868,2,1,2,1
P13605,1,2,1,1
Q762I5,0,0,0,0
Q3MHY1,0,0,0,0
P13608,2,2,1,2
O46414,0,0,1,1
Q2KJG3,0,0,0,0
Q5E9A3,0,0,0,0
Q29RU4,1,1,0,1
P17690,2,1,2,1
P01267,0,0,0,0
O46470,0,0,0,1
P01966,2,2,2,2
P01888,1,1,1,1
Q3MHN0,0,0,0,1
Q5E9E3,2,2,2,2
P68252,0,0,0,0
Q58CX7,0,0,0,0
