feature,observed,boot_mean,ci_low,ci_high
zeta_potential,0.04707550289930788,0.0605299859732556,0.05250063749053771,0.06801191713850316
abundance_controls,0.02920384062496652,0.02076568222353322,0.00853166849708395,0.037825382618517214
dh_functionalized,0.02526069503595896,0.03423046605765316,0.029481806172838257,0.03876528224409158
secondary_structure_fraction_sheet,0.02395885321062003,0.019962493049591384,0.010317159236526716,0.03269439868603585
ligand_pei,0.02357737504033614,0.03297585384931568,0.026916792339562196,0.03906228791610093
dtem,0.0174263418150504,0.02229078961843397,0.01882579531480807,0.026222256929770517
frac_aa_a,0.015358560307233262,0.015677858091166307,0.008760719879673744,0.028115056328216457
fraction_exposed,0.015216390922187722,0.011766523398762772,0.007587840737111634,0.018622977136266365
nsp_secondary_structure_helix,0.01514888314313867,0.012867811120809943,0.008362145781632517,0.020656015232019563
frac_aa_c,0.01483832541581074,0.01248437201328288,0.007710251942899369,0.020867163932746638
frac_aa_r,0.0142564417737136,0.013075723958622634,0.007913051744992555,0.022592783587567528
fraction_exposed_exposed_k,0.014163824348208913,0.012128184104519749,0.00803201636435991,0.019321014062570366
fraction_exposed_exposed_v,0.013886772996905527,0.01242409181282087,0.0080042118546622,0.02135280264652938
fraction_exposed_nonpolar_total,0.013630475707904672,0.009493177477518011,0.006665025673355468,0.013546877566860946
asa_sum,0.01336393841400976,0.012738182453803584,0.008015833256553787,0.020745503792535043
fraction_exposed_exposed_l,0.01334268755576642,0.012165532304189944,0.008249132646756075,0.018095551417717362
fraction_exposed_exposed_r,0.012973222959525734,0.011382210102579485,0.007788943500375779,0.017592435371457542
frac_aa_i,0.012932303223071989,0.011509645081841921,0.007579221602256065,0.018526322904586716
frac_aa_p,0.012926758687146246,0.00986074225731895,0.007137782360181146,0.013929986745553319
frac_aa_s,0.012518694279306826,0.011298247251163043,0.007467582624512283,0.01829120720481365
fraction_buried,0.01249484307129334,0.011569268605580047,0.007359353242444329,0.017874134553702365
fraction_exposed_nonpolar_exposed,0.01244908595531004,0.010860839185885275,0.007462079482673214,0.016079189187057703
fraction_exposed_exposed_f,0.012440359469071141,0.012012232336060833,0.007843197712016855,0.01909571780239804
fraction_exposed_exposed_p,0.012433489958462229,0.01073592473540686,0.007618608726954096,0.015108236818986496
fraction_exposed_exposed_e,0.012383880211963114,0.010938835799902433,0.007743697088453917,0.016421331139204232
nsp_secondary_structure_coil,0.012347314959318451,0.013572189088765264,0.008596937039130753,0.022603938158017995
nsp_secondary_structure_sheet,0.012271243045770654,0.010506586767541773,0.0068632282076435645,0.01631841299464301
length,0.01224935548421029,0.011962705664254648,0.007540249530132782,0.019035253601080826
frac_aa_n,0.01218386982395949,0.011493015197693149,0.00727124161455741,0.018471995776207173
frac_aa_q,0.012142363867855355,0.011289727375767835,0.0075913841680619615,0.01810779730837838
frac_aa_l,0.01214127511543731,0.011715880476606629,0.008153023213870968,0.018519958329166274
gravy,0.012131196963710511,0.010450594823402217,0.007098729199055783,0.01623672221194699
fraction_exposed_polar_exposed,0.011884385617100049,0.010983590025373595,0.007576677862380892,0.016878760128635845
fraction_exposed_exposed_s,0.011793093890587289,0.01132494135319291,0.007759047660755224,0.01626821626743425
fraction_exposed_exposed_a,0.011712881264233296,0.010145232875086896,0.007124907965147279,0.015138530689678789
flexibility_mean,0.011704842870061762,0.009295657803380802,0.006618910705165996,0.013354130305360114
frac_aa_w,0.011675631591376532,0.009988627722841845,0.007166287186517816,0.015993918580808283
frac_aa_t,0.0114900865001224,0.009506546242782462,0.006920734088191011,0.013092846484009641
flexibility_min,0.011488955894843705,0.01273917630985808,0.008655465429367099,0.01978912682088918
frac_aa_h,0.011484425435324077,0.010042062488662995,0.006954120245510723,0.015162780321965053
fraction_exposed_exposed_n,0.011362710035283155,0.010508694640694876,0.007148870285057599,0.016902149663500277
fraction_exposed_polar_total,0.011359362345445125,0.009529565900542694,0.00654509844494357,0.013993527263084556
molecular_weight,0.011203717245965417,0.011501832480996349,0.007542581569515411,0.016992831392023934
rsa_std,0.011025816977022604,0.008814944575075838,0.006491303719532985,0.012257462289765214
frac_aa_e,0.010995750044655994,0.009446870330666985,0.006854437594217639,0.01282117585954373
fraction_exposed_exposed_y,0.010956030004257605,0.01114523923478939,0.007750647636452707,0.016285363641134462
flexibility_max,0.01088988039520978,0.010577024145921723,0.007500912718878784,0.01572693842312118
flexibility_std,0.010875728577206908,0.009804856964773815,0.007215749767198907,0.01351552998308659
mass,0.010857408646890093,0.01161120282956038,0.007719546157454218,0.017725732763916154
frac_aa_v,0.0107777869453844,0.009857744184647948,0.007225982311709533,0.01327697277318847
rsa_mean,0.010687279774321344,0.00976138723278816,0.006716847730737768,0.014230156590382518
core_iron_oxide,0.010663064613426825,0.013065722769597634,0.010674439947174623,0.01591148169711013
fraction_exposed_exposed_g,0.010557860526447733,0.010686499039327533,0.00747442627255184,0.0161083256552694
frac_aa_g,0.010517419698194017,0.009567966969374836,0.007067067621863774,0.01323769000134314
fraction_exposed_exposed_q,0.010438038255964212,0.010084541288555193,0.007135258367824633,0.01590520847624379
frac_aa_y,0.010404537100309195,0.009574849671772192,0.006905674889225541,0.013180923260783654
fraction_exposed_exposed_m,0.010133663910756208,0.009773196256460304,0.007170239382735912,0.013318481643715479
frac_aa_m,0.010053115615707875,0.010129095369807644,0.007133498575010174,0.01596364397319772
aromaticity,0.009952258044613287,0.008473384509030357,0.006215365288756521,0.01174201794983276
frac_aa_d,0.009946571377442598,0.009708828126829678,0.006700848801600806,0.01447543355875287
isoelectric_point,0.009946142507447167,0.011015724223723425,0.008060937323769467,0.01481309338784638
secondary_structure_fraction_disordered,0.00985070774653169,0.009781487347921022,0.006994070498097802,0.01359313113542197
instability_index,0.009740219246669046,0.009317598057076822,0.006848017681820294,0.014083672210498905
secondary_structure_fraction_helix,0.009733014035315665,0.009150020543768528,0.00659902802250314,0.013397449551941542
fraction_exposed_exposed_i,0.009712949661691278,0.009888341331407204,0.007138869132656357,0.013689872741825359
fraction_exposed_exposed_h,0.00969381757584948,0.009489826285361947,0.006897357475516688,0.013173025179647446
fraction_exposed_exposed_w,0.009682780370316568,0.007949817531319443,0.005607296269974606,0.011014752136744643
frac_aa_k,0.009598640590153295,0.010566739078924943,0.007389415593231623,0.015029174635651546
nsp_disordered,0.009471919138668919,0.009919480088553126,0.007239662656303249,0.014124038386977813
