bootstrap_iter,abundance_controls,length,mass,frac_aa_a,frac_aa_c,frac_aa_d,frac_aa_e,frac_aa_f,frac_aa_g,frac_aa_h,frac_aa_i,frac_aa_k,frac_aa_l,frac_aa_m,frac_aa_n,frac_aa_p,frac_aa_q,frac_aa_r,frac_aa_s,frac_aa_t,frac_aa_v,frac_aa_w,frac_aa_y,molecular_weight,aromaticity,instability_index,flexibility_mean,flexibility_std,flexibility_max,flexibility_min,isoelectric_point,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,secondary_structure_fraction_disordered,gravy,fraction_exposed,fraction_buried,fraction_exposed_nonpolar_total,fraction_exposed_nonpolar_exposed,fraction_exposed_polar_total,fraction_exposed_polar_exposed,rsa_mean,rsa_std,asa_sum,fraction_exposed_exposed_a,fraction_exposed_exposed_c,fraction_exposed_exposed_d,fraction_exposed_exposed_e,fraction_exposed_exposed_f,fraction_exposed_exposed_g,fraction_exposed_exposed_h,fraction_exposed_exposed_i,fraction_exposed_exposed_k,fraction_exposed_exposed_l,fraction_exposed_exposed_m,fraction_exposed_exposed_n,fraction_exposed_exposed_p,fraction_exposed_exposed_q,fraction_exposed_exposed_r,fraction_exposed_exposed_s,fraction_exposed_exposed_t,fraction_exposed_exposed_v,fraction_exposed_exposed_w,fraction_exposed_exposed_y,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,nsp_secondary_structure_helix,nsp_disordered,zeta_potential,core_ps,core_iron_oxide,core_iron_oxide_au,ligand_carboxylate,ligand_peg_two_k,ligand_citrate,ligand_pei,ligand_pvp,ligand_peg_five_k,dtem,dh_functionalized,centrifuged,np_incubation_concentration_mg_per_ml,incubation_concentration_mg_per_ml
0,0.020494500837760884,0.010741000038651256,0.010590598632015407,0.010976542448932737,0.0213832202730749,0.007908615113965269,0.00799743563002569,0.00998687471674879,0.008768511660791614,0.010532146809074565,0.008534834322479885,0.008948102247256326,0.010984482903067035,0.0074727390758764405,0.013811752498319523,0.008623106054462652,0.009164722351272922,0.011320775156492763,0.015620304251365388,0.012701522455628856,0.010136949043423995,0.00746327659992422,0.010179028414493311,0.008846462631993214,0.009135799810986963,0.008126628591083271,0.011378022557019344,0.007639798920586917,0.010253575869265907,0.00975625194963256,0.009354295662628343,0.013433659880187422,0.008154549257936346,0.02156706112622126,0.010012129060426792,0.012551270920875381,0.01071193622878693,0.008599987302362494,0.01019981533881066,0.008564472061555547,0.014821522664442487,0.011222665891175598,0.00814266101174125,0.008678251063479516,0.010540410967563073,0.007381223822988828,0.008273551636257643,0.006290500118591379,0.009104702681659102,0.014493265272742393,0.011351212776217316,0.00813676752042062,0.006782364086494826,0.009875512616890108,0.014389081891723492,0.008912252679759827,0.012771695875033908,0.007467731169849465,0.01069208078409987,0.011387200037552813,0.011217937521186203,0.014614070209988247,0.012807969227986084,0.007178140454080583,0.009699295058016113,0.01088452164902986,0.012819385756905517,0.014707994429087256,0.0057700070234345275,0.06417558121474504,0.006823578312671197,0.014355087754868231,0.011279149387800317,0.004799117671469181,0.004021246515074448,0.01437899751870004,0.03752253306054302,0.012979074155070333,0.0013302911751328415,0.024685841848454893,0.038276713355260956,0.00753419752643085,0.009500582428621288,0.015297273471295869
1,0.017484035672132962,0.010662314075168135,0.008653506644512412,0.012035980571020503,0.007618183379477816,0.010303155433129511,0.007629478341096948,0.0075502295311942955,0.010142240614279747,0.008820914902683696,0.006930107258508218,0.01059893684187551,0.008760505488915405,0.008180283863763039,0.011528090106332385,0.012231269524136591,0.011123785949554807,0.01384235333943464,0.010253160323932729,0.008712814571688487,0.008116082298965556,0.010814661998578513,0.00896332224910752,0.009620205486076209,0.007408644594723343,0.009847973034213907,0.014827165262702828,0.009539788958461285,0.01310223800643335,0.022066700421170506,0.011639651474144823,0.010313174789439558,0.009242131002177703,0.02012825418946774,0.0073632778565845235,0.014276633326733037,0.00935025167066141,0.00945092901528343,0.012023234940418836,0.00926873562231935,0.012836634915072202,0.008464570962612683,0.009848262128165712,0.009115638046046004,0.010694941435382365,0.01122177197129195,0.008847914256625952,0.010166205056787368,0.009256981421388928,0.011638044147999373,0.011854728987270299,0.008226210308073079,0.009791349725671467,0.009149960932946311,0.011697726659986973,0.01026573088387901,0.00958885018502567,0.009996776132287642,0.012738854925083084,0.01371221541645157,0.008444621907148888,0.011334333288471698,0.023647924788415486,0.006856398520205369,0.010646720597880176,0.010085074289504592,0.009178711217832524,0.014074012682335827,0.011293443532541437,0.06403730944966042,0.006321877482548177,0.013318002815441553,0.011295513463084779,0.004804211636778963,0.0026973379475987535,0.0144622216521188,0.03384169760883319,0.012470983020477154,0.0018747920202359931,0.02430152041575036,0.03667991155385886,0.006756511127492235,0.008844514441317302,0.013194583411918696
2,0.021742874662737038,0.018633680921087182,0.016454132319370093,0.011785158564404897,0.015392344983243978,0.006677313616316061,0.010100482608674698,0.008924536059412867,0.010151137277271688,0.011027639937631457,0.00905417284460787,0.009303453956774219,0.010761468552223687,0.010033834406455697,0.008510165424881965,0.010333822646115048,0.009027158855570611,0.013515428393484338,0.007286991261446495,0.010303242288790052,0.009133624881567,0.010127754728405935,0.008861532629531543,0.016834857452988697,0.008392920189004038,0.010327989096551209,0.011914533193579173,0.011604487566953895,0.00965717907664802,0.015114857362480845,0.009107448680042724,0.00847167828991785,0.010063161248520216,0.012318781777471095,0.009413990318042239,0.007197955362687882,0.009458013589209524,0.01127460537054152,0.011131564399239758,0.014798423831370498,0.008704763860455694,0.012927263866596999,0.0101481781290433,0.007255785660717634,0.017628267102743442,0.006807166850213014,0.008690795456046459,0.008114480422400549,0.01796204318416452,0.013790302057299739,0.007758536287486455,0.01051356458280669,0.009566122770197708,0.008000106393621585,0.008715118095346874,0.00975374498859353,0.009416066364999415,0.010418153457495319,0.010253882005432006,0.009009760850467265,0.012695868935892257,0.008007486973517884,0.008503880259583752,0.00908412149604524,0.010076799458632255,0.012475966651107928,0.009020060741650494,0.010026180827529365,0.012307143911935317,0.06409281109213699,0.007046692253070505,0.01160076297903881,0.009577039325758274,0.0034421267705763868,0.0026366641464853234,0.018278864343424867,0.0361911453733082,0.014509871463192617,0.0013854614727196706,0.02241586653526026,0.03656591068947999,0.007000301850734141,0.009105263366232732,0.01429520807130495
3,0.007420107636916462,0.010007899782306488,0.009699448107000054,0.013571536449858614,0.014745430684008118,0.010464064236428715,0.009268848235255478,0.01152552721953696,0.008091245162343937,0.008989468707729176,0.017551074689050854,0.009782442943915448,0.011736248981895323,0.008045840875134751,0.01436502257629983,0.010684268146447858,0.010381179705994774,0.011876056562090006,0.00965386737224157,0.008154481582891272,0.007977073719067957,0.00953609856323031,0.01013091312828293,0.00822316703239975,0.0076246466841282,0.00683565182674636,0.008663792635669224,0.009273165207204233,0.01245368750305478,0.011815699982494971,0.012090436652175067,0.00793658857828085,0.009501014380629755,0.022532728703364396,0.008743237137004244,0.00909531114012796,0.012011026393224298,0.010031494779185893,0.009574806662961139,0.009576019206598136,0.009322474926943432,0.008906155259050053,0.00861323640067385,0.007654760167900361,0.01080366473203057,0.012754847600667087,0.009073778975784782,0.009809004669454672,0.00955538691464497,0.0127701178851783,0.01054375578032216,0.009224784412020607,0.01064408646506995,0.009642342477864564,0.012936286896378883,0.00950422948220447,0.010780354778423113,0.009395763659660486,0.008830218437601619,0.007736063229633515,0.011657201609885811,0.012202715557181212,0.010509850963211841,0.007221142223400183,0.012260038327126544,0.02347586337631398,0.008278860977669134,0.018621595480014012,0.008910551443807403,0.0652978611651986,0.006074829649684702,0.014772296829775393,0.009950287612924007,0.0039359258907835015,0.002786178646344059,0.01745978880857294,0.04262384064500362,0.014191927330635833,0.0015758871963279788,0.0237613450163564,0.03864687143424361,0.005982669379328565,0.009091765770663646,0.01256877194086362
4,0.03182583036013323,0.014240576116919694,0.0118451774617193,0.014919559650150033,0.009216021064573398,0.010067594694432415,0.009618318148576275,0.009365801759712444,0.007667421096614623,0.008684503545117898,0.011326662895890807,0.01331040013772093,0.01885320125311062,0.008326448985941677,0.013673395775125566,0.015571651083076544,0.010935755006454469,0.014317512811595393,0.014735483685140723,0.008633811645528932,0.008986557648487164,0.009460398469833603,0.007113337517105226,0.011001179670800196,0.009800635735920268,0.009518202562935583,0.01088644571712542,0.009989513103995408,0.0102247821050238,0.011359961994740757,0.008622660488157052,0.008354568076793538,0.007866134608364132,0.020651910552331176,0.012957563642587645,0.010594740163733716,0.01190127659477105,0.014185361265249332,0.016498006573490633,0.011872925969648533,0.010133717071881194,0.012496962636849452,0.00896470961698596,0.006959720256108991,0.01315195097883273,0.009480507637966063,0.008912807997448351,0.00782684683097814,0.010237097289529977,0.012389984837038827,0.008718077058831021,0.00852593440211431,0.008688588716044077,0.01286200517422033,0.01636263994203431,0.013638757516701216,0.010490778216568361,0.013477878351069667,0.00964961825221722,0.009730136075780074,0.011722567880490363,0.011154209177280631,0.019427723510934358,0.008085892811665635,0.010507329820516382,0.00976445348402737,0.00655053003663254,0.008080618318717363,0.011486499074560976,0.056000523052795924,0.005615306579549961,0.012166865612559662,0.008479675891388738,0.0038656892202738186,0.0025040708644670957,0.011125342525157652,0.028561515221661723,0.01048484957591747,0.0007832597338036721,0.018907025733337305,0.02704353012412191,0.006512566403617804,0.007598204309551798,0.011891742539140398
5,0.013322037646526865,0.012535801950417015,0.011197860852430153,0.014270159687289334,0.011801469588846697,0.008648562921084662,0.007835890444447451,0.011315779218714173,0.009163100493880796,0.011804234772066461,0.013442807484485682,0.010478381730191014,0.01295288996970278,0.011381277847072041,0.012823990002622193,0.012142808572644069,0.014780106654154825,0.007069273117611384,0.009609471651454095,0.008875221093873283,0.009725049385300784,0.01075625690556372,0.00800223353972797,0.011075780451503201,0.01037789289430073,0.007873895830103915,0.008109437100878887,0.009213760054657544,0.008801497750940001,0.013891915215749165,0.007488121301110702,0.008886958292875042,0.009874449674964151,0.02883379470655144,0.0071150486943945546,0.006991910718255068,0.01266729826055064,0.01230256731142397,0.008755647373151737,0.009588407895245642,0.009844834493528371,0.0077916258727734975,0.010444579710521667,0.008495183402529492,0.009817534890833503,0.009641164688776394,0.006552313029893057,0.009955395121739144,0.00866326834441527,0.020307188338689386,0.012154115701696546,0.008807683960199604,0.011264788170657378,0.007940570519774462,0.012113474906749846,0.00976535400468727,0.012970513973493936,0.010143992527398962,0.010570566380468603,0.008254718320030783,0.011315299920632285,0.009150869884524295,0.02132138093614011,0.008868832873459494,0.009452617555715023,0.01435484134459686,0.009829460740244038,0.01452373585699047,0.009264872264253609,0.05698769958683807,0.007957921199861764,0.012734389869106409,0.010092547855686586,0.004867151123063269,0.002694616039838146,0.015115717664595818,0.03095092224151521,0.013450675140253117,0.0011286563935603683,0.026268860061839133,0.03630385388551388,0.007469344241492192,0.009312246790223924,0.015301571114434928
6,0.021386515291005687,0.009316816181622523,0.010972166136862223,0.009739567646737226,0.008348812708566817,0.013406959464157448,0.007558043208031653,0.008535099297895664,0.008214221872377903,0.010080154648787152,0.01682436625961248,0.011830409921767909,0.01143137043804318,0.007931202176113044,0.009738690278289825,0.012933732931758908,0.008521669760637077,0.01689817042126617,0.01046641093346666,0.007966005800840233,0.011611103859334828,0.008403240871081156,0.009074492241528072,0.011576413947733758,0.009924490000857827,0.009794771464085484,0.010150950084108974,0.010427120533343737,0.010971055978348068,0.013354179976303133,0.010500711386723588,0.013652312155916722,0.007224260874209018,0.025623221414757983,0.009667060728368,0.00843127590537316,0.012877601300041114,0.010678256779225877,0.012647789075695139,0.011713252509261876,0.012928905613465104,0.011513081729564776,0.010928602379928775,0.008799334555982474,0.013101964204050034,0.00994633808587616,0.008468045634110955,0.017859256098219332,0.009794480347385847,0.011310034805092633,0.009518508044737955,0.009437617851069691,0.009222924540169156,0.01702553812937337,0.011348427365961866,0.008591679035386383,0.009012010854164984,0.010197911841462994,0.010053045285768851,0.015199868960469376,0.010914160838986222,0.010262393783365957,0.009365901313969928,0.007155582547700806,0.009319580718815645,0.014367640776521123,0.008560390434280392,0.013708429802436506,0.009314452235142117,0.0598421635034343,0.007838024481286657,0.011581208830010016,0.008529704625206734,0.0035605856336677457,0.0029373973242406842,0.011905678408003707,0.033582770329205876,0.01249623799249614,0.0010819793179244923,0.0183080761026352,0.03035283966470916,0.007643272531944264,0.008931182499898027,0.01377882447774036
7,0.028279147925971606,0.009507611185233236,0.011282106614826511,0.013110262919993933,0.012367066594907113,0.008736817039307015,0.011470645696587083,0.012310695562222305,0.009285509697233957,0.008751801945453008,0.010084124304480352,0.008830832481113417,0.009292914678794515,0.008632958435127826,0.014835231793541253,0.009145074209552547,0.013100386424239805,0.022640163718842046,0.011441840439695886,0.008770072266767182,0.01017509813972167,0.00883683251378098,0.008871292974768135,0.009731987539598596,0.010339923791984179,0.00721594608235692,0.008810281825315227,0.010734850556170104,0.0074382651102038785,0.009652959949632774,0.010275988477418214,0.01163933078637091,0.011911428152594385,0.016656006336996057,0.011347743881187214,0.009961628825519715,0.009801621476990555,0.01104799486021238,0.008250276897165471,0.011722256132400294,0.007698010478203764,0.011592492608577237,0.010072594721746,0.010408960264150391,0.010167727040164448,0.010747398203410427,0.007142115909190984,0.008807637166203884,0.019542031964697917,0.01346045570659665,0.009850636236183338,0.00877973507080962,0.011302939180550533,0.012670709228515575,0.011499732878537951,0.008067675244810918,0.013180479023910712,0.009518777675425454,0.008946506479146566,0.01336858832929226,0.010049043273552922,0.009900477032796118,0.016091787874749634,0.006442362966632226,0.007350714399796461,0.017516571907971186,0.008709916532189603,0.01565211470876228,0.007600732812117456,0.062317733634136604,0.005891923406423547,0.012540517684669067,0.01026653295442032,0.0037200745067614695,0.002331352973924827,0.014304695774828808,0.032312150056458024,0.01199992875948124,0.0009226517521330732,0.018267242475753363,0.03386677884726336,0.006358007387632309,0.008678659606264945,0.013785847016878256
8,0.013309200740116687,0.01304902831852459,0.011706758213761919,0.013649385998866186,0.01490867930525999,0.010099127091618676,0.00775084548115977,0.008869424626141686,0.010863680215366623,0.0124067485509241,0.009444084094206167,0.010574620077380872,0.010845976104654598,0.008909184211802309,0.011515265228215454,0.010712652354859324,0.011268857157319378,0.00896209003154805,0.00877048735121668,0.008260409093391027,0.011867000330010641,0.010327576618820677,0.008647633516617476,0.011420169961375109,0.010273638635337312,0.010107036701491469,0.01010169768355298,0.009913473829308503,0.010676866252861777,0.011927973680766988,0.009061375410842835,0.009325742109108099,0.0086883982987544,0.021764690824451222,0.011436181300852196,0.009152814436485773,0.015333091917051789,0.014995344245185999,0.010613626286529548,0.011706373365965412,0.009370983999126512,0.010731238603636548,0.012172892395496076,0.006444360782371952,0.012997769001923303,0.007383631946101709,0.006121549807186421,0.01430978669125773,0.011459009747495218,0.014602954274812152,0.010648024468887575,0.008136246223935812,0.008753951635702311,0.008961583314413159,0.012641691559669519,0.007393674998154475,0.008580673342947633,0.011203010506566143,0.01304876064115826,0.010673938974239986,0.009944310533191447,0.012004090343617909,0.010344607260930404,0.007565392633050151,0.013372384592328366,0.013147415450862359,0.010579273385193044,0.014448634779639596,0.008679561878208111,0.06277249278702543,0.006591355011272299,0.012077492672113941,0.010055109470919006,0.003951628425770215,0.0022361423304806064,0.0146914933490894,0.03479476224085627,0.013356421892085529,0.001218070858976408,0.024304571522931525,0.03430118283766871,0.006821162294688602,0.008995458864498875,0.01489404201781507
9,0.027103970982031406,0.009136088745326442,0.01154228463959568,0.011361591565270283,0.01147730442078558,0.008441376273626702,0.010340549446334064,0.01043201747029311,0.00874321761984003,0.006497744210626885,0.011185189298078983,0.009035228978692808,0.011479389889928204,0.0077670389731622535,0.01102816606478283,0.010889687072901685,0.010754436138020575,0.01237851506545665,0.008744726417926618,0.011234422128259118,0.00796099419051943,0.008180769164749866,0.014248675547414415,0.009558757771313878,0.010132518383821558,0.007742639722658648,0.009033127319547913,0.009670211816817426,0.009148575471314268,0.010142549486724812,0.011284638488741934,0.008861789036045488,0.010500016747338409,0.021033014656305034,0.008755144190321773,0.010479387731391513,0.017344761102377988,0.02022742329615489,0.009504091084734498,0.013106218447882373,0.011899641128572351,0.011266318649121643,0.015095851694116548,0.00769429143601698,0.012769247862773987,0.010848667084735407,0.005790714753704353,0.009067904491762552,0.011412087214404853,0.013696935506591646,0.020435844995542574,0.009645944667519496,0.00878308401331409,0.010429095988288508,0.015849326567744418,0.008134750099995055,0.00959863567150074,0.01229620731500662,0.013356843074674765,0.009454606606784516,0.011319909774358447,0.013615950275997756,0.016047047881270902,0.006108180120357434,0.010567688258380479,0.012485619438414027,0.0070771267341584575,0.012213445643175655,0.008520597135656971,0.057553228873522634,0.0065697970129645795,0.012460941497936378,0.009331401475838556,0.003365466209286152,0.0025279024418784967,0.01231821975341249,0.031156600128443065,0.012183249114697602,0.0008640491709241143,0.019361952370946806,0.03297810976622738,0.006527330623652442,0.00757813832433608,0.013253800094876061
