feature,perm_rank,perm_mean
abundance_controls,1,0.020325179226144255
secondary_structure_fraction_sheet,2,0.01860208058343869
zeta_potential,3,0.016831725533000448
ligand_pei,4,0.010874927769620483
nsp_secondary_structure_coil,5,0.008408988904898764
fraction_exposed_exposed_k,6,0.007823395954303435
frac_aa_a,7,0.005911164943992848
frac_aa_c,8,0.005664676663992383
frac_aa_r,10,0.005214494940145703
dh_functionalized,11,0.005026968552087513
fraction_buried,12,0.003919964077098749
fraction_exposed,13,0.003845429101981599
isoelectric_point,16,0.003165116855831284
fraction_exposed_exposed_l,18,0.002987444690841866
fraction_exposed_exposed_e,19,0.0029161458344527168
nsp_secondary_structure_helix,25,0.0023936146911736522
asa_sum,32,0.00154570080290643
fraction_exposed_exposed_s,34,0.0013969808212404844
frac_aa_s,36,0.0012901347647880557
fraction_exposed_exposed_p,49,0.0008123276961893433
length,53,0.0006817434696801295
fraction_exposed_polar_exposed,63,0.0001492039278475532
flexibility_min,71,-0.0004269944857805519
fraction_exposed_exposed_f,72,-0.0004552569585343302
flexibility_max,74,-0.0007371704491153152
fraction_exposed_exposed_v,80,-0.0016472293123115777
