feature,rfecv_rank,selected,parsimonious
abundance_controls,1,True,True
length,1,True,False
mass,1,True,False
frac_aa_a,1,True,False
frac_aa_c,1,True,False
frac_aa_d,1,True,False
frac_aa_e,1,True,False
frac_aa_f,1,True,False
frac_aa_g,1,True,False
frac_aa_h,1,True,False
frac_aa_i,1,True,False
frac_aa_k,1,True,False
frac_aa_l,1,True,False
frac_aa_m,1,True,False
frac_aa_n,1,True,False
frac_aa_p,1,True,False
frac_aa_q,1,True,False
frac_aa_r,1,True,False
frac_aa_s,1,True,False
frac_aa_t,1,True,False
frac_aa_v,1,True,False
frac_aa_w,1,True,False
frac_aa_y,1,True,False
molecular_weight,1,True,False
aromaticity,5,False,False
instability_index,1,True,False
flexibility_mean,1,True,False
flexibility_std,1,True,False
flexibility_max,1,True,False
flexibility_min,1,True,False
isoelectric_point,1,True,False
secondary_structure_fraction_helix,1,True,False
secondary_structure_fraction_turn,1,True,False
secondary_structure_fraction_sheet,1,True,False
secondary_structure_fraction_disordered,1,True,False
gravy,1,True,False
fraction_exposed,1,True,False
fraction_buried,1,True,False
fraction_exposed_nonpolar_total,1,True,False
fraction_exposed_nonpolar_exposed,2,False,False
fraction_exposed_polar_total,1,True,False
fraction_exposed_polar_exposed,1,True,False
rsa_mean,6,False,False
rsa_std,1,True,False
asa_sum,1,True,False
fraction_exposed_exposed_a,1,True,False
fraction_exposed_exposed_c,1,True,False
fraction_exposed_exposed_d,1,True,False
fraction_exposed_exposed_e,1,True,False
fraction_exposed_exposed_f,1,True,False
fraction_exposed_exposed_g,1,True,False
fraction_exposed_exposed_h,1,True,False
fraction_exposed_exposed_i,1,True,False
fraction_exposed_exposed_k,1,True,False
fraction_exposed_exposed_l,1,True,False
fraction_exposed_exposed_m,1,True,False
fraction_exposed_exposed_n,1,True,False
fraction_exposed_exposed_p,3,False,False
fraction_exposed_exposed_q,1,True,False
fraction_exposed_exposed_r,1,True,False
fraction_exposed_exposed_s,1,True,False
fraction_exposed_exposed_t,1,True,False
fraction_exposed_exposed_v,1,True,False
fraction_exposed_exposed_w,1,True,False
fraction_exposed_exposed_y,1,True,False
nsp_secondary_structure_coil,1,True,True
nsp_secondary_structure_sheet,1,True,False
nsp_secondary_structure_helix,1,True,False
nsp_disordered,1,True,False
zeta_potential,1,True,True
core_ps,1,True,False
core_iron_oxide,1,True,False
core_iron_oxide_au,1,True,False
ligand_carboxylate,4,False,False
ligand_peg_two_k,7,False,False
ligand_citrate,1,True,False
ligand_pei,1,True,False
ligand_pvp,1,True,False
ligand_peg_five_k,8,False,False
dtem,1,True,False
dh_functionalized,1,True,False
centrifuged,1,True,False
np_incubation_concentration_mg_per_ml,1,True,False
incubation_concentration_mg_per_ml,1,True,False
