feature,observed,boot_mean,ci_low,ci_high
abundance_controls,0.6738073689932165,0.6235884460044199,0.38925410412329736,0.8150873346231534
zeta_potential,0.023261724259730974,0.02990744414743838,0.013110590069265505,0.0589825917456018
nsp_secondary_structure_coil,0.019349220996151106,0.004718471945790641,0.0005289905007720936,0.02222156385029995
nsp_secondary_structure_helix,0.017752544043618146,0.0056199974979146035,0.0006193128871480382,0.02620020090252419
dh_functionalized,0.014770963131638733,0.015168442673254455,0.009830501289923185,0.022347752645992112
frac_aa_r,0.010341475693439458,0.006285594358368961,0.0005694314103280427,0.03374332370442329
incubation_concentration_mg_per_ml,0.007903597262059095,0.011805880105601557,0.00519595030856447,0.020938163575533693
frac_aa_n,0.007472317900058596,0.004513895609525693,0.000675716797206915,0.019298424947832647
frac_aa_m,0.006636243392054967,0.004935370944364543,0.0006753337879082608,0.02039821336832548
fraction_exposed_exposed_c,0.0066284877232793025,0.003603265329790224,0.0006681667859772715,0.013290818522245593
fraction_exposed_exposed_y,0.0066141473701878065,0.004111334920523992,0.0005671254375922022,0.018477704813493093
fraction_exposed_exposed_r,0.006536513919087978,0.006094543655976992,0.0008535953851787375,0.026479188551816704
ligand_pei,0.006479396638459761,0.008222737881330171,0.0022117986855419596,0.01847528450751433
rsa_std,0.006474832222597565,0.003089290758340456,0.0005015636170318679,0.01259532956472012
fraction_exposed_exposed_w,0.006189151794352685,0.0033249597726368917,0.0004146900531920381,0.014155594349927393
dtem,0.006033680044885654,0.006720281319021799,0.0029591408465463646,0.012811170071156945
fraction_exposed_exposed_a,0.0057086529680937465,0.0037168514133967354,0.000535369762865999,0.012859140050890153
frac_aa_h,0.005621406133430471,0.0036956657670730395,0.000632020206529658,0.014185810885723023
fraction_exposed_exposed_n,0.005577818030531377,0.0035242238469958007,0.0005894669677785776,0.01654771105943937
instability_index,0.005396084088874741,0.004102901277011148,0.0006467874309663393,0.015470753316281354
fraction_exposed_exposed_s,0.005373632207976948,0.004319815889707274,0.0005342760071198573,0.01799374351388377
frac_aa_i,0.0053573745108735325,0.004053228695962122,0.0005912142503414045,0.015700447151041755
ligand_citrate,0.005349465622694681,0.008822558590814274,0.0023905197664734904,0.026097576345088417
frac_aa_f,0.005322542820600336,0.006005642141381041,0.0004904873334470819,0.03569565294533696
frac_aa_v,0.005124828142358362,0.008495890091464228,0.0007359224793573608,0.0450774030169616
mass,0.004973103138338581,0.002709455222056087,0.0005490975235644818,0.008853177097344546
fraction_exposed_exposed_e,0.004223413798022671,0.009066220380464824,0.0008440492815061676,0.04541548362522101
flexibility_std,0.0042158119980684,0.0025742012038034914,0.0006057583594284486,0.010777987125239669
frac_aa_c,0.004203430628578591,0.006887980740879969,0.0011201986800172476,0.023905951454020774
molecular_weight,0.004143987432030497,0.00266811411609035,0.0005157183393899986,0.008234571597221133
length,0.00412302300776081,0.00251661891897134,0.0005447589813806881,0.008604536837182842
fraction_exposed_exposed_t,0.003992999420426846,0.002987074967685539,0.000655696862905138,0.011979106203878558
core_iron_oxide,0.003844524894857239,0.004145396119688905,0.0015489152483826878,0.009559371988626405
np_incubation_concentration_mg_per_ml,0.0036786603307684207,0.004662459984311553,0.0007455518227567188,0.015365987450937077
isoelectric_point,0.003552303304762623,0.0037449817904569287,0.0005679637840062945,0.015529900944792605
fraction_exposed_exposed_f,0.003445509517973986,0.004125655109059225,0.0005354768239526026,0.016736426381119465
frac_aa_q,0.003328408335322777,0.005737448367249791,0.000619473556666987,0.027640334834213083
ligand_pvp,0.003100204815442985,0.00402369206790138,0.0011970067688898767,0.009796452570411278
fraction_exposed_exposed_l,0.0030327786802121586,0.0036407637012787044,0.0006173127438957815,0.016555517630458885
secondary_structure_fraction_disordered,0.002916007204806002,0.003580656128710081,0.0005064474801212427,0.013563110437258065
nsp_disordered,0.0028697847586188667,0.005420647889347858,0.000665488863279928,0.028081417098801728
fraction_exposed_exposed_h,0.002661679156736135,0.0028799985699146323,0.0007040763892515192,0.010183765370189475
core_ps,0.0026006365967139794,0.0022725133354359124,0.00046250996787043516,0.008130655635969467
secondary_structure_fraction_sheet,0.0023565930234469216,0.005536131182845823,0.0007434609995712914,0.023882527513862318
centrifuged,0.0023549932498928587,0.002205589174841814,0.0004751235060971733,0.008030033711730585
flexibility_max,0.0023504328689897365,0.0028740761582268255,0.0006925852124875038,0.010069032078632556
frac_aa_e,0.0022908509955835103,0.003137392228990799,0.00047987379580163836,0.015286318850433342
flexibility_min,0.002204882325170736,0.005145678661503153,0.0007555733849389792,0.030788844063069448
frac_aa_a,0.002119533027169489,0.0030180766699076256,0.0006585922325512158,0.011069749641637287
frac_aa_s,0.0021174664858531313,0.004932781477798272,0.0006150862201600477,0.024606243862552706
frac_aa_w,0.0021135767127438993,0.0034332422206593757,0.0005753997776171489,0.016717011564382864
fraction_exposed_exposed_v,0.0021115692884250605,0.0040218720590070355,0.00047142118229134334,0.019689165530376956
fraction_exposed_exposed_g,0.002081523920083918,0.01652491244316916,0.0007092402496775457,0.15453597421164553
asa_sum,0.001930665750895825,0.0029123014857249403,0.0006800618226302732,0.008680847815379514
fraction_exposed_exposed_k,0.0018972218631679702,0.0052271873662343695,0.000472517027249569,0.030796372612395297
fraction_exposed_exposed_m,0.0018931405271918177,0.00497796787836558,0.0007085650502620369,0.02779601072455263
frac_aa_l,0.0018611928026690471,0.0032134969444933,0.0005338752519914046,0.01749453736866644
frac_aa_k,0.001681600095130317,0.005359761339897578,0.0005469766038997568,0.026741759775024
fraction_exposed_exposed_d,0.0016719241504765336,0.005653663226521359,0.0006419839661541726,0.0268919837325114
frac_aa_p,0.001503924498844317,0.002772365236104918,0.0004795624319577445,0.011661016637882172
fraction_buried,0.0015018689885996728,0.0016673396217877562,0.0005006486437417027,0.004659800323781632
frac_aa_d,0.0014346652058929209,0.004005329652360959,0.000576760387052184,0.021643317440740755
core_iron_oxide_au,0.0014279502847076232,0.00237339134272514,0.0008111397947628297,0.005680935316831142
