bootstrap_iter,abundance_controls,length,mass,frac_aa_a,frac_aa_c,frac_aa_d,frac_aa_e,frac_aa_f,frac_aa_g,frac_aa_h,frac_aa_i,frac_aa_k,frac_aa_l,frac_aa_m,frac_aa_n,frac_aa_p,frac_aa_q,frac_aa_r,frac_aa_s,frac_aa_t,frac_aa_v,frac_aa_w,frac_aa_y,molecular_weight,aromaticity,instability_index,flexibility_mean,flexibility_std,flexibility_max,flexibility_min,isoelectric_point,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,secondary_structure_fraction_disordered,gravy,fraction_exposed,fraction_buried,fraction_exposed_nonpolar_total,fraction_exposed_nonpolar_exposed,fraction_exposed_polar_total,fraction_exposed_polar_exposed,rsa_mean,rsa_std,asa_sum,fraction_exposed_exposed_a,fraction_exposed_exposed_c,fraction_exposed_exposed_d,fraction_exposed_exposed_e,fraction_exposed_exposed_f,fraction_exposed_exposed_g,fraction_exposed_exposed_h,fraction_exposed_exposed_i,fraction_exposed_exposed_k,fraction_exposed_exposed_l,fraction_exposed_exposed_m,fraction_exposed_exposed_n,fraction_exposed_exposed_p,fraction_exposed_exposed_q,fraction_exposed_exposed_r,fraction_exposed_exposed_s,fraction_exposed_exposed_t,fraction_exposed_exposed_v,fraction_exposed_exposed_w,fraction_exposed_exposed_y,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,nsp_secondary_structure_helix,nsp_disordered,zeta_potential,core_ps,core_iron_oxide,core_iron_oxide_au,ligand_carboxylate,ligand_peg_two_k,ligand_citrate,ligand_pei,ligand_pvp,ligand_peg_five_k,dtem,dh_functionalized,centrifuged,np_incubation_concentration_mg_per_ml,incubation_concentration_mg_per_ml
0,0.7521414516311618,0.0009320726220648435,0.0012154219577807579,0.0026760140738856316,0.003067505427527404,0.0009032451132325336,0.0021480649580759756,0.009317603791860503,0.0006304840325749869,0.00477668369791594,0.0024734626571854836,0.0005085708575180591,0.0009278726252002353,0.001689504533382594,0.0006756118277972986,0.0012635129373104678,0.00331890856526528,0.011731107989368338,0.0013141878597329605,0.0010244282417988095,0.0018520251885573975,0.002114512566108734,0.0018397256733854723,0.0015191995960027475,0.0010195782851739213,0.0029747402501053453,0.002715150256557027,0.0028515020094342252,0.003239665085362665,0.002319535811987664,0.0016287955941632415,0.003018059278465789,0.0008985355805435295,0.0051357058143082415,0.00309977228936816,0.0011064239460704985,0.0013024871874063727,0.0007795350134434364,0.000674879629641811,0.0015701734629468627,0.0010918842303004814,0.0006933704630409213,0.000981825175541426,0.0016629338846161008,0.0014929061762786115,0.0015554024170610582,0.0016950113613538138,0.0011185578754470999,0.001956652586790134,0.0029325579484876753,0.0012597720850491166,0.015329529273923349,0.0023169685166014252,0.0012314138045714002,0.0017739980636685432,0.0027753934452007497,0.0028172857005636038,0.005530609319052164,0.0019715776456452365,0.006186896914265021,0.001089594259485863,0.0026056436940214184,0.0010802714944634232,0.001777890578961694,0.0017698777468345892,0.0032407577615894425,0.0030474109250778845,0.004135404155914935,0.0013075940020955126,0.022690322212551947,0.0009845860737165359,0.003250234302059484,0.0024726236697398263,0.0004308014409474935,0.00014955114553006905,0.0063411007280880834,0.007911409987931686,0.006062892109051979,0.00011906393411115375,0.006049972620711661,0.012063151099117033,0.0007377638649313183,0.001906169547793945,0.008005647838142057
1,0.5649305965153184,0.0009491742006743741,0.008342762220422873,0.0034069434235187964,0.0068001595643239435,0.002103237063582559,0.00741863863338224,0.01540368604152517,0.002852337166967199,0.004669322907766086,0.0014346375954821168,0.0016487816499662744,0.000637974148517811,0.00339264635333859,0.0023049748136282863,0.0037725223647831745,0.004362957433057556,0.02941512044213955,0.004758655477130665,0.0012452727340368167,0.004364905078428588,0.0038933248022938877,0.0014966188113450247,0.009214416928905803,0.004154362398612302,0.001607197829647272,0.007965737400687498,0.0032773095844528537,0.024793762286833318,0.002871825924362073,0.00515487747312643,0.01706620134615979,0.003680233965607285,0.0009226332898195092,0.0023491634246959607,0.007995135127671069,0.0021267402484710495,0.004408906893752868,0.0036541243205976863,0.001845468516181957,0.0027401784284939034,0.0008878763582098508,0.0019103851871070925,0.006254944737994535,0.0009882291957884206,0.0013795389123897803,0.003484928910588877,0.0022895447710227497,0.004489216504708274,0.0027443023124365997,0.003671384879551489,0.0017086565105393194,0.002216933000394129,0.0021584764887486864,0.0038843128006635814,0.0011117815442511596,0.002056774829523113,0.0020398452791940383,0.004624294856898374,0.011000150483106921,0.007073853384870967,0.002258985857745524,0.004038206096617104,0.006053435263444556,0.006184595203221795,0.0019225280863511588,0.0027194521130506637,0.0026537836559767623,0.003505881962234204,0.031719610655645734,0.002070639225091273,0.004705694114348524,0.006023283054346804,0.0003821436606405544,0.0003801272387520517,0.011052995972315011,0.007652837779499508,0.003945712640895324,0.0001465502904953082,0.009160612169290584,0.01678623182799256,0.002271079246029433,0.002347853368160455,0.020608804740158443
2,0.6084698375132331,0.008289057618312178,0.004503003938919923,0.004514075090674986,0.02093714996783234,0.0006623697592400088,0.004988905354336695,0.01666213356806868,0.020808471179551414,0.0016124452572998278,0.014350730914671178,0.009473598677667748,0.001881520886037528,0.00236297988560514,0.0035118139093838524,0.00023126619537979965,0.0005847707269983453,0.0016084468926736333,0.02498261778339005,0.0008313775851721705,0.00396250563638596,0.0017730505391071046,0.0021074006872090316,0.005830421439031472,0.0018758316431855453,0.0006872121992123574,0.0012729284815063367,0.0018233937605537122,0.003508451398613543,0.0012342660251289225,0.010937227317084932,0.0006143465317855171,0.0011312382835338569,0.0010086686860062426,0.009682833325701558,0.0005818124579874623,0.0004348936127857894,0.0005932212244128501,0.0008812682309220617,0.00040178341681069545,0.0007044101364254752,0.0007143364762074524,0.000662077401771058,0.0016849625244886183,0.0007370667701174549,0.0008528876639691898,0.0029246118422399043,0.017794689343030856,0.021286769384051073,0.0017884487602036578,0.01923448197697882,0.0019993107350386673,0.002621900395708379,0.005044054521249195,0.0015155164900706572,0.002106673872254609,0.0020967072240310036,0.0013513555216758018,0.0010293398525585754,0.0031454722701237774,0.0011400759225164106,0.0030108229929833408,0.000753083632876179,0.0007609495439853894,0.0011098879923953765,0.007848833847469486,0.0005057827381093726,0.006968002703841024,0.004093135315320413,0.01939401921515094,0.0022868353113202227,0.002361804741983339,0.001399708396129661,0.00037991997868791916,0.00017016209688945993,0.011080411889274805,0.005567286361596365,0.005025913713706746,0.00023691403526544374,0.006562783405780571,0.01251736266615916,0.001981997910265558,0.004161272139095779,0.009778632685589284
3,0.7739546454847422,0.0012042703914538705,0.001793994480664699,0.0023017769591748625,0.008020803226319284,0.0015488079154267645,0.0009437767786533656,0.0019116341813327153,0.0009185115723098933,0.0016563116316143309,0.0035543095099383037,0.0009369514811152374,0.0008058246891404587,0.0017391806705968774,0.0036149674002505967,0.0008338180317426347,0.006528834977340413,0.0015327915783296267,0.002025168633608911,0.0007129742720482523,0.008775761541715565,0.003497921697927158,0.0010347315611996574,0.001965452425009832,0.0008960315936441213,0.0056493875066009926,0.0016331114494849528,0.0013036930667603792,0.0033701763826354423,0.0014971442315064997,0.0022252738928981385,0.0042827547014419945,0.0009025497132933092,0.007709429088149833,0.004354095519886251,0.0023928745271802523,0.0010939744877734563,0.0016296185981102165,0.0007662388018239057,0.0005402532922835159,0.0008965740468095054,0.0009754054294643506,0.0007315988313467757,0.0006227621078031195,0.0034642365384138503,0.0030018081811806286,0.002738391251518065,0.0009864502454127956,0.0015584763389721726,0.002013369029218303,0.000726465721019633,0.00164216477689591,0.0019882914096239386,0.0006812225638486057,0.0013573933783629958,0.0016817327882394312,0.0010079350607960142,0.0007664264799339017,0.004541567162046787,0.002649963510586972,0.005025577531769843,0.0008662047712575172,0.0023611943767657757,0.003342061680445754,0.007546119692150961,0.0045531547973650215,0.0008812822544832675,0.0038772858867877954,0.002098222946427729,0.019294950940370197,0.0012878872551675532,0.0022560906362231116,0.0010033203066888365,0.0015551981869116726,0.00013832070256514104,0.0023609182411357364,0.003424983177769597,0.0016789816941247216,1.238328329561568e-05,0.0036911152318865035,0.012081534592970898,0.0016100178532522413,0.005713902746308979,0.007247228417253019
4,0.5562745451913294,0.0012064458673241652,0.0013127481974534933,0.0025073403247579343,0.007283830846526943,0.0016421920441058281,0.0027717873402367537,0.010557421541997354,0.006245685074426922,0.0015061087876706578,0.003220244516290468,0.02909104094929384,0.0018830848427772396,0.007863839033752318,0.001471586534967067,0.002060686767627486,0.0019524513257901835,0.0014337784746335759,0.01284236162123796,0.001880171843745272,0.012056634894514777,0.004355046636867662,0.003960968005952293,0.0015681143131537987,0.0018392614618291815,0.004340649132520228,0.0019317752992146302,0.0024730664358692286,0.005026012928487023,0.002119287675826668,0.006000285429951702,0.0004608942806190712,0.0015750646557660664,0.0008577321111778149,0.01455455244617316,0.0008342958420918147,0.001023178142559717,0.0018706755315189211,0.0007937847501882545,0.0012514639582422507,0.0013674766930950105,0.0009501016606986737,0.011088674014381582,0.003357493979640134,0.0009534762378208859,0.003429671140616861,0.010056752566372253,0.010461076251973204,0.014672986403639234,0.0036531264146511555,0.016259357634375034,0.001421897635576063,0.005191637033631981,0.016183105545372133,0.0020456867896292046,0.0065706425378716845,0.0021313964253843755,0.005826339107408005,0.0006725569174557412,0.006279970902950794,0.0048127707453183574,0.005650228231721249,0.0018055954629498708,0.0011641330721748682,0.0019047972666103089,0.0006602494375828064,0.014448215491845018,0.002263909188409573,0.004590957153262982,0.03586772896612445,0.002225349712932161,0.004495848831015597,0.002853575252041498,0.0031149555843860617,0.0001941478281465416,0.004909336091016699,0.010532987773826719,0.0053307103953159785,7.998101480841423e-05,0.00586777100302023,0.02015629248044222,0.002860108278105342,0.002180899331276925,0.015555930456652965
5,0.7925131099632312,0.0010820168958952823,0.0007507756188053256,0.002804433612063196,0.0015438360474448226,0.0003277776306928109,0.000472346334507902,0.001989071413220795,0.0002718316547352766,0.0023490168614355997,0.0006973167044085668,0.000297210400269357,0.0010335675076385627,0.0011788898053371841,0.002150759267005639,0.002935637569198777,0.049168369992942766,0.004809632714992823,0.001813905461148281,0.012864195562609917,0.0013532842219658192,0.000878137310399083,0.001056337017476867,0.0008741790705857281,0.00043857800675808646,0.0012243111915078778,0.000766284955200025,0.0008075345638649743,0.0016828866922066347,0.0008380079164697252,0.0032881014660820235,0.0013847086870465762,0.000897711362419351,0.0018272232003111399,0.0022927072110894907,0.0007315717183996779,0.000611099283404014,0.0012696577554422164,0.0008400419990009185,0.0013985983602681717,0.0011647087433381575,0.0006193179903912877,0.0008562871270381734,0.0045407379293904765,0.001508067965470631,0.0012205582564251115,0.0006181670736856215,0.000581252254518321,0.001370752202894222,0.001536406886496668,0.0018644180411993947,0.0011004930279403455,0.0010914446514132907,0.0006180950373478999,0.0012429747587024925,0.0010722692429764936,0.0013417941193486415,0.002590073681231687,0.0008930673570227837,0.002267087142218791,0.00482744546267937,0.0008391102155599261,0.0015743249949980085,0.0010206864565654916,0.0024261045023236377,0.0015394256663634805,0.0016278422408624567,0.002082545438873046,0.0010795705234154295,0.016558644159498974,0.0006644019109195646,0.0015886706808356567,0.0009827283953214216,0.0005449359481892385,0.00021889008562032592,0.0024850195340597385,0.004871159834809407,0.0012606473089879552,1.4027353619768126e-05,0.0027546481319111996,0.010071243075706834,0.0004785650123974641,0.0009812037870710806,0.005895522782877545
6,0.6353203533934039,0.001723777141186974,0.0036295719616454896,0.002351449807830643,0.0028954119306119227,0.002023483626399065,0.0007912029696259603,0.0013126227319370568,0.003290206055759638,0.00847487258078971,0.010356722244400967,0.0025634867115311238,0.0021562086238519538,0.01412271920469835,0.005767555140432956,0.0022042340952531025,0.001163277177921077,0.001594712569180975,0.001115402509061462,0.0028525034579670035,0.007882698418774349,0.0009313455660089366,0.00203357860990783,0.0031249479721688913,0.0019187631281866744,0.011866015159664145,0.0018099789604763728,0.0010797119991188481,0.0012675559240502676,0.001983465872890166,0.012767557282928388,0.000779525735540856,0.0018184504942407509,0.008713264610225781,0.0014707034546729918,0.0042960933574748604,0.0014046814123127912,0.001326495155840085,0.0009761642231416018,0.0005356350382437169,0.0006201384899278302,0.0011031099817774164,0.0007439726385846592,0.01267068927848148,0.005685988088844621,0.004029071148157645,0.005570088271802117,0.0040122045040633415,0.0010979905990651608,0.019563886566729503,0.0026696153256236467,0.002804331758946653,0.0015200005152093408,0.0020769171064735194,0.0016660991409400048,0.001745923830731004,0.004644201333518534,0.001610359647571195,0.001305405534720299,0.0026094343656612967,0.005647747585828649,0.0016813218763550067,0.0012174122950102306,0.008296390631490205,0.0031520518430156203,0.014914245323026995,0.0013281516794574671,0.010723038443036386,0.004115537046071022,0.024323142813049956,0.0029944707120781165,0.005120296648694574,0.003711440044451776,0.00041004189428843805,0.0006165597904402855,0.006034586272981984,0.010471855996940291,0.0026684158646565147,1.4289102989073615e-05,0.005092565211085114,0.016460490245198512,0.0025091124255776794,0.005753905590960017,0.01129709622712921
7,0.6661262580512146,0.0010526978593311987,0.0018084219148131405,0.00863337960060079,0.0028671213965208646,0.0010427843456881304,0.0062436241761391065,0.006974581639412749,0.0017080291119761157,0.0027216088472243496,0.0007720276522107249,0.0014925658802083597,0.001195330185419938,0.0012474538410043683,0.015672113917513688,0.0012371810277363607,0.018400457768096918,0.006627090773877069,0.0021374973471992398,0.0017391988752980924,0.0012899515230666073,0.005243368753467102,0.0010354286450328714,0.0019107043185837582,0.0006832088534900318,0.00908279356717216,0.001536136838988136,0.0010701947358016284,0.006557727696169222,0.0028321144545939494,0.0015122414007918516,0.0008580090913417271,0.0008295315076611965,0.0008429754386243591,0.001865769527159172,0.0016012084674388277,0.0009290598247675032,0.000892528193020525,0.0004884550950135426,0.0011497688043759454,0.000692188246099275,0.0006211741269313212,0.0005855040336326611,0.014642537237489385,0.0015422940942546497,0.004497467518697325,0.006013734667506937,0.0019492514455007415,0.0017333506940226692,0.0014011779327320214,0.0027759820349581086,0.0023035035227316337,0.0018772938518208113,0.0024889218018276523,0.001532527814828643,0.0018666512863746098,0.016942306657842302,0.0009747205006252433,0.0031113366369860396,0.014071155737949878,0.0020929994201134257,0.00883060909920875,0.006123704547959266,0.018581578242077172,0.0019121184022056683,0.0011564641885520811,0.001974326094699467,0.0026832515005013025,0.0040012049273903645,0.02431292073744927,0.0011807580413238704,0.004406687967238391,0.0012640402034567316,0.0011328574667055218,5.698302799416874e-05,0.0065033136376054694,0.00601811044196971,0.00306021775504734,0.0001965359357138874,0.007574910675350204,0.011925734776046283,0.0008429862153768834,0.0014647267787307086,0.009169279126426389
8,0.6355634605977329,0.0009213740305114976,0.0011993305509487794,0.00446375967850686,0.008382970394981449,0.010705680140345212,0.0006272279342530398,0.0011875744455237538,0.00102056030307597,0.002960803666090551,0.00032231104793854705,0.01092767139582211,0.0012178802447401623,0.002267560407333737,0.001796704574641099,0.002121566303830973,0.008419824013773693,0.006042589794858831,0.0007795068940762643,0.0013108741755198166,0.0039815620554427295,0.002970282019139701,0.0005782915854846315,0.0007229542780068243,0.00047842382455831443,0.0010462919201083103,0.0015493967323949069,0.0005786446747898282,0.0030292180399528255,0.003964809883312145,0.0019656722723096704,0.0013730396795993242,0.0015228795511848122,0.0008755129783795858,0.0009941099715082265,0.000774123496804389,0.0010617566346536366,0.001761864594773524,0.001052847038869497,0.0011946301365756268,0.0009754458384504401,0.0008647453403610903,0.0011798730014037169,0.0012665268319933206,0.0019612627355000637,0.0009997367625927023,0.003430032129850523,0.020668473588868305,0.008763539953544867,0.016097867748339455,0.021985913939928034,0.002264157363075778,0.0017963527831568907,0.005542635784367883,0.0007361374305372371,0.001039391086708695,0.0013454657586460862,0.004086957063992505,0.008760255867998284,0.005234235485386753,0.0008528063926950082,0.0005957082262787347,0.001044031258516431,0.003298411111652876,0.0002321511202589416,0.0012501842488232902,0.002840861593664551,0.000590089411708554,0.03776999018723534,0.026406325628815175,0.0014037435576892343,0.005096947433587106,0.002671660937009379,0.0009584601829740513,0.00028018259248230185,0.00785077280906082,0.014234925128783047,0.006155088949813085,8.898727363027554e-05,0.00555294263483363,0.016549021818300952,0.0020590805245564708,0.0025272085182578724,0.016975870002316172
9,0.49703650153056944,0.0021667282972157604,0.0016515894425342121,0.001459602334998267,0.003135329935405343,0.08649566465963705,0.014540561616792402,0.01038255006408687,0.0017727300277831353,0.014210437187665598,0.00394092535632085,0.0015065987672827463,0.0018498157221787266,0.002261238030384529,0.006165628458718297,0.0016421516968209908,0.0032092600322202727,0.0026556023770467462,0.000995156735322326,0.00489537154636294,0.0017440878249013988,0.0006610407983072573,0.0008019557158896358,0.0020273217444965017,0.0010785171689578338,0.0013376238653832993,0.001074458134616352,0.002393944641950242,0.002317733186836596,0.0031230868725434305,0.007937947898016938,0.00216656292921891,0.0014002378933987943,0.004633175738846286,0.0022209759711341653,0.010729746731914253,0.002236118928284885,0.0034506856495530435,0.0010988654717361088,0.0023375785813111397,0.0020106610458684167,0.002269814391645953,0.0009806115499732054,0.0020956595169313043,0.0040170778241685095,0.030925685990261038,0.0017233693581675872,0.0042712004079937865,0.007388612023145696,0.0013991460476075834,0.003623773819570321,0.002793759087944334,0.0032080228761768533,0.006174389288809801,0.0056667958150221085,0.00480895990414922,0.0016467035869732183,0.0008076859380191073,0.0037332512835432357,0.003498869704955987,0.0025767795703152984,0.004416631757591729,0.001669779884902182,0.002478627219466597,0.0021982369077335135,0.0019679407957879733,0.0013408626573466577,0.000922191324144274,0.003287238533352844,0.058131263223983196,0.0010441629911377812,0.012724143144485492,0.0038358256670438296,0.001069666604823866,0.0005476984389565417,0.014935694864023722,0.011082045971789533,0.003599657344163404,5.2481582126182166e-05,0.00851693336131324,0.028474199034622148,0.0007295424331272433,0.0026125122334457887,0.02199672542674626
