feature,abundance_controls,zeta_potential,nsp_secondary_structure_coil,nsp_secondary_structure_helix,dh_functionalized,frac_aa_r,incubation_concentration_mg_per_ml,frac_aa_n,frac_aa_m,fraction_exposed_exposed_c
abundance_controls,1.0,0.0,-0.0264320808130622,-0.09145328126769872,0.0,-0.12471795680556563,0.0,0.06853394135601432,-0.1952387406510677,0.16158225170220902
zeta_potential,0.0,1.0,0.0,0.0,0.5807799260613943,0.0,0.13234131459828924,0.0,0.0,0.0
nsp_secondary_structure_coil,-0.0264320808130622,0.0,1.0,-0.8032579424315494,0.0,0.0845159545862379,0.0,-0.009083521919708458,-0.35855402914442236,0.24560255542524037
nsp_secondary_structure_helix,-0.09145328126769872,0.0,-0.8032579424315494,1.0,0.0,0.01961934997358057,0.0,0.007802840139556762,0.37695760954987745,-0.2371908564493456
dh_functionalized,0.0,0.5807799260613943,0.0,0.0,1.0,0.0,0.17618030513984237,0.0,0.0,0.0
frac_aa_r,-0.12471795680556563,0.0,0.0845159545862379,0.01961934997358057,0.0,1.0,0.0,-0.13096006923002712,0.0830671521544903,-0.0488697820792959
incubation_concentration_mg_per_ml,0.0,0.13234131459828924,0.0,0.0,0.17618030513984237,0.0,1.0,0.0,0.0,0.0
frac_aa_n,0.06853394135601432,0.0,-0.009083521919708458,0.007802840139556762,0.0,-0.13096006923002712,0.0,1.0,0.15068934368078943,0.05533158121568148
frac_aa_m,-0.1952387406510677,0.0,-0.35855402914442236,0.37695760954987745,0.0,0.0830671521544903,0.0,0.15068934368078943,1.0,-0.13464980340524543
fraction_exposed_exposed_c,0.16158225170220902,0.0,0.24560255542524037,-0.2371908564493456,0.0,-0.0488697820792959,0.0,0.05533158121568148,-0.13464980340524543,1.0
