abundance_controls,secondary_structure_fraction_sheet,zeta_potential,nsp_secondary_structure_coil,fraction_exposed_exposed_k,frac_aa_a
-11.473305514975355,0.2587064676616916,-63.0,0.711,0.04093567251461988,0.0845771144278607
-10.135603612562901,0.2818532818532818,-7.0,0.622,0.05442176870748299,0.09652509652509653
-11.473305514975355,0.2521994134897361,-63.0,0.578,0.1173708920187793,0.07331378299120235
-11.473305514975355,0.2155688622754491,-42.0,0.689,0.08450704225352113,0.05389221556886228
-11.473305514975355,0.2671428571428571,-63.0,0.486,0.09915014164305949,0.06571428571428571
-2.392051863294559,0.319327731092437,-12.0,0.481,0.06382978723404255,0.09453781512605042
-11.473305514975355,0.3171247357293869,-49.0,0.357,0.07563025210084033,0.08879492600422834
-11.473305514975355,0.0,-63.0,0.544,0.09302325581395349,0.0
-11.473305514975355,0.2810457516339869,-7.0,0.65,0.05327868852459016,0.08169934640522876
-11.473305514975355,0.2301587301587302,-3.0,0.666,0.05128205128205128,0.06235827664399093
-5.555077396303211,0.2799043062200957,-11.0,0.443,0.1082251082251082,0.05502392344497608
-11.473305514975355,0.0,-11.0,0.803,0.1042654028436019,0.0
-11.473305514975355,0.3069767441860465,12.0,0.502,0.239766081871345,0.08837209302325581
-2.392051863294559,0.319327731092437,-63.0,0.481,0.06382978723404255,0.09453781512605042
-11.473305514975355,0.282051282051282,-63.0,0.363,0.09848484848484848,0.09829059829059829
-2.6690351556713074,0.2220762155059133,29.0,0.568,0.111358574610245,0.05256241787122207
-11.473305514975355,0.2330097087378641,-42.0,0.663,0.08786610878661087,0.06796116504854369
-10.58892716021461,0.3542857142857143,12.0,0.303,0.09,0.08571428571428572
-3.4919416985595433,0.248,-7.0,0.717,0.0665083135391924,0.0656
-11.473305514975355,0.3273703041144901,39.0,0.472,0.04986876640419947,0.1162790697674419
-11.473305514975355,0.3483535528596187,-63.0,0.402,0.1339491916859122,0.08492201039861352
-11.473305514975355,0.2772277227722773,-12.0,0.396,0.07,0.1089108910891089
-11.473305514975355,0.1987327188940092,-49.0,0.906,0.04715762273901809,0.06048387096774194
-11.473305514975355,0.2580645161290323,29.0,0.383,0.1549295774647887,0.08870967741935484
-11.473305514975355,0.3004484304932735,39.0,0.283,0.08426966292134831,0.08295964125560538
-11.473305514975355,0.277511961722488,-63.0,0.502,0.2171428571428571,0.07177033492822966
-11.473305514975355,0.2198391420911528,-42.0,0.613,0.1082474226804124,0.05764075067024128
-11.473305514975355,0.2919508867667122,-42.0,0.461,0.1723356009070295,0.04774897680763984
-11.473305514975355,0.2780487804878049,29.0,0.332,0.1030927835051546,0.07317073170731707
-11.473305514975355,0.253731343283582,12.0,0.527,0.125,0.05472636815920398
-11.473305514975355,0.2666666666666667,-49.0,0.444,0.1012658227848101,0.0962962962962963
-11.473305514975355,0.2678571428571428,-49.0,0.482,0.1588785046728972,0.07142857142857142
-11.473305514975355,0.2159090909090909,-12.0,0.527,0.1968911917098446,0.04924242424242424
-11.473305514975355,0.2677345537757437,-63.0,0.439,0.1386138613861386,0.04805491990846682
-11.473305514975355,0.25,-11.0,0.806,0.1374407582938389,0.05277777777777778
-11.473305514975355,0.1987327188940092,12.0,0.906,0.04715762273901809,0.06048387096774194
-11.473305514975355,0.2521994134897361,-3.0,0.578,0.1173708920187793,0.07331378299120235
-11.473305514975355,0.2216924910607866,-12.0,0.59,0.07524271844660194,0.05840286054827176
-11.473305514975355,0.2572087658592849,29.0,0.63,0.0562390158172232,0.0784313725490196
-11.473305514975355,0.2566371681415929,-12.0,0.221,0.1111111111111111,0.06637168141592921
